file, circle, x, y
a000b140-2.bmp, A, 2356.50914450603, 2200.3194245500404
a000b140-2.bmp, B, 2343.384322134858, 2103.268227305218
a000b140.bmp, A, 2343.4901435292713, 2103.1716395688163
a000b140.bmp, B, 2359.0356394129976, 2203.0985324947587
a030b140-2.bmp, A, 2669.736061258674, 1863.1795285953576
a030b140-2.bmp, B, 2730.4710578842314, 1941.5429141716565
a030b140.bmp, A, 2669.8275033056857, 1863.1639019112874
a030b140.bmp, B, 2733.554054054054, 1943.6351351351352
a060b140-2.bmp, A, 2833.006477150054, 1492.6374595178122
a060b140-2.bmp, B, 2925.134575569358, 1532.414078674948
a060b140.bmp, A, 2833.1092896174864, 1492.801957605236
a060b140.bmp, B, 2928.7897091722593, 1534.4407158836689
a090b140-2.bmp, A, 2886.869583438102, 1076.3413167379094
a090b140-2.bmp, B, 2789.992359983156, 1090.1942489322023
a090b140.bmp, A, 2790.118577075099, 1090.4766439094503
a090b140.bmp, B, 2890.655844155844, 1075.8852813852814
a120b140-2.bmp, A, 2630.1133994882357, 703.3306912979259
a120b140-2.bmp, B, 2552.6870320455223, 763.9822102425876
a120b140.bmp, A, 2630.495566933067, 703.3344155844156
a120b140.bmp, B, 2553.0215672178288, 764.0135394200814
a150b140-2.bmp, A, 2217.833075415248, 506.4042092231507
a150b140-2.bmp, B, 2181.0950250536866, 598.3817108088762
a150b140.bmp, A, 2218.4512112012885, 506.30524750635027
a150b140.bmp, B, 2181.5547205820953, 598.290630404962
a180b140-2.bmp, A, 1761.5192567983265, 543.390139863008
a180b140-2.bmp, B, 1775.7794396961062, 641.9732905982906
a180b140.bmp, A, 1762.0464615384615, 543.1717333333333
a180b140.bmp, B, 1776.3046562928514, 641.6892028855899
a210b140-2.bmp, A, 1385.398721248519, 804.5592188585201
a210b140-2.bmp, B, 1447.1923351158646, 883.1116458704694
a210b140.bmp, A, 1385.73119267929, 804.1965602467471
a210b140.bmp, B, 1447.4818569903948, 882.7936677339026
a240b140-2.bmp, A, 1191.174230377166, 1218.1583078491335
a240b140-2.bmp, B, 1283.9037168141592, 1255.6213569321533
a240b140.bmp, A, 1191.3180207697008, 1217.8464874770923
a240b140.bmp, B, 1284.0118878637331, 1255.4146557842441
a270b140-2.bmp, A, 1230.1315961177718, 1673.7428839409508
a270b140-2.bmp, B, 1328.9236479321314, 1660.039766702015
a270b140.bmp, A, 1230.273740398916, 1673.5887170710837
a270b140.bmp, B, 1329.0530369847709, 1659.9021579349678
a300b140-2.bmp, A, 1492.3385285635393, 2048.0749626720662
a300b140-2.bmp, B, 1570.6560359083392, 1987.2112567918732
a300b140.bmp, A, 1492.1791096660736, 2047.862298836472
a300b140.bmp, B, 1570.5310784487338, 1987.0046632430196
a330b140.bmp, A, 1904.1996329064323, 2239.6351543649075
a330b140.bmp, B, 1941.5401931165213, 2148.4330904567264
